Content,NB_Emotion_Predicted,SVM_Emotion_Predicted,KNN_Emotion_Predicted,Emotion_Actual
Ointment and perfume rejoice the heart doth the sweetness man friend hearty counsel TruthfmDawnBreak,joy,joy,fear,joy
you truly want more God your life require let some the old things allow new things flourish stop,joy,joy,fear,fear
UPLIFT you still discourage mean Listening the wrong voice amp look the wrong source Look the LORD,sadness,sadness,sadness,fear
way ticket the blue,sadness,sadness,sadness,sadness
first you take the room now you wan beat bully,fear,fear,fear,fear
holy shit what the hell happen your lips Fix that shit mtv teenmom,anger,anger,anger,fear
spend his campaign divide people and pit them against each other His message fear and resent the other,anger,anger,fear,anger
pure the drive snow after piss multiple rabid dog,fear,anger,fear,anger
possible from cheery earlier the worst mood possible nowðŸ,joy,joy,sadness,joy
the android app design buggy and work sporadically fire box,fear,fear,fear,fear
heart because you leave for long again slight pout but turn smile nheheh just kid fine,sadness,sadness,fear,sadness
joyous first webiversary web mitzvah Smithsonian WeiPoints brianwolly jackie_mansky bethpylieberman bilbo,joy,joy,joy,joy
through the stress,fear,fear,fear,joy
Zika Hoax Files DEET part binary chemical weapon target your brain Toxin fear neurological USCitizens Insect mammal,fear,fear,sadness,fear
jamiesonhelen all three agin the pout,sadness,sadness,sadness,sadness
WelshGasDoc PlaidCymru supporter prejudice against disable people disabledlivesmatter bully bbcnews skynews,fear,fear,fear,fear
the EmotionalHedgeâ WPS elate about start Have mention TAMU,joy,joy,joy,joy
GucciShade KellyannePolls Who care Who care about tax form too believe terrorism and job what important,fear,fear,fear,fear
Tolumanda love true teach fear can illusion coach courage,fear,fear,fear,fear
spooky night disney fortwilderness campground disneyworld powerfailure dark,sadness,sadness,sadness,sadness
beyond mad that lose track brown spider brown carpet Where you will sneak frighten,fear,fear,fear,fear
you guy still down When can panic,fear,fear,fear,fear
ikhras Amal Clooney should try prosecute Bush Blair for war crimes that turn our World upside down amp create terrorism,fear,fear,sadness,fear
gon give this KKk police bitch the minimum sentence just wattch angry,fear,anger,fear,anger
morningmika amp her HillaryClinton Super PAC Morning_Joe MSNBC full panic mode over momentum TrumpPence16 MAGA,fear,fear,fear,fear
you guy still down When can,fear,fear,fear,fear
nervous could puke,fear,fear,fear,fear
CornflakeDaddy Yeah soo horrific need sit down,fear,fear,fear,fear
sparkle water make your life sparkly,joy,joy,joy,joy
Americans for HRC Now maybe you see the world get rid terror save their countries you get the DEMS out,fear,fear,joy,fear
KimPiggie every people can make tipo terrible bully them about that trvial and very sad,fear,fear,fear,fear
you get thisðŸ staystrong smile yourebeautiful,joy,joy,joy,joy
instagramers Selfie BestMeSelfie Smile BestMeCameraIsGreat EmojiGrid LikeforLike Friend Girl Boy Tattoos Family 6Pack,fear,joy,fear,joy
glee glee glee glee gLEE GLEE LOST LOST LOST lowe much,joy,joy,joy,joy
Gilmour biggest compliment King ask him after gig bear Mississippi pinkfloyd theblues davidgilmour blue,sadness,sadness,fear,sadness
yeah whatever whahibbi muslims just sect you know islam synonymous with rape and,fear,fear,fear,fear
and off the hospital Elouise water have panic Labour LittleSister superexcited,fear,fear,fear,fear
excite for the FirstDayofFall amp the rest the season have Halloween scare events cover for the next week,fear,fear,fear,fear
Loving Pitch far PITCHonFOX chill smile,joy,joy,fear,joy
dreadful temporada,fear,fear,sadness,sadness
just kill spider big spray spider gut like horror movie ugh revenge,anger,anger,fear,anger
slither from her ears and wrap itself around her neck like the boys she want love her mpy vss quote depression poetry,sadness,sadness,joy,sadness
hit the sink with hammer sorry the universal modifier,fear,sadness,fear,sadness
the thread and thing doesn like like that idk shy and secretive ugh,fear,fear,fear,fear
the first time madden career just set farm account Should make MOTM much easier,anger,anger,anger,anger
FieldYates MatthewBerryTMR Stephania_ESPN MikeClayNFL goddamn the celebrity draft the end classic,joy,joy,fear,joy
episode today Whilst edit there power outage will rebuild tomorrow podcast lose edit fail tomorrow,joy,sadness,sadness,sadness
thank Ryan amp Brad for scary the shit out the first episode Don think heart will make through the,fear,fear,fear,fear
Darius article what convince that the time and money have sink into the IGDA past years waste Good read,fear,sadness,anger,sadness
literally Nicole already have her chance and she play shitty both season bitter,anger,anger,anger,anger
Watch this amaze live broadcast lively musically,joy,joy,joy,joy
when you shine nYou know how feel nScent the pine nYou know how feel nFreedom mine know how feel feelin good,sadness,sadness,fear,sadness
Loving challengesophie talk challenge fear map inspiration stayunstoppable,fear,fear,fear,fear
One choose the CLP members seat not for people dole out their mat elect candidates,anger,anger,anger,anger
life never understand why anyone would pay money see,fear,fear,sadness,fear
never let anything below concern,fear,fear,fear,fear
ever want chance psyched start this new chapter newbeginnings timetoprovemyself morethanready,fear,fear,fear,fear
gloom,sadness,sadness,sadness,sadness
perception See someone else You also some level have that within you anger worry,fear,fear,fear,fear
have hard time fall sleep and wake several time because afraid bug crawl and end wake with bite,fear,fear,fear,fear
the drink man the bus who piss bottle and the seat,sadness,anger,fear,sadness
MCHorseFayse bockaguyjim generalgoodsman you own losers Twitter,fear,fear,sadness,sadness
noo nomorehammocks nightmare,fear,fear,fear,fear
depress that darker much earlier now,sadness,sadness,sadness,sadness
cant live anymore roblox get termianted sad killme lol robloxgamer,sadness,sadness,sadness,sadness
get see her last when she lively and talkative and able tell her love her that what matter,joy,joy,sadness,joy
that where Brian Where invite offend,anger,anger,anger,anger
EmilySmissaert shock revelation,fear,fear,fear,fear
start get Chris Sutton off our campaign Spread the work pundit noclue,fear,fear,fear,fear
pout just want Adrian appear and tell stop pout else,sadness,sadness,sadness,anger
DaniQays ohh here come sense from terror support stone pelt vandalize ppl who gather protest announce,fear,fear,fear,fear
age joyful elevate hope with the,joy,joy,fear,joy
all friends bnc mean and feel terrible hahaha,fear,fear,fear,fear
name DarthVader feel like need puff inhaler rapper but that some sick bar bar rap,fear,fear,fear,fear
health insurance win cover TMS but they let know they cover ECT mentalhealth psychology depression TMS ECT,sadness,sadness,sadness,sadness
may have induce these seed mine sleep restless,fear,fear,fear,fear
idea just exhaust and tidy room and just burst out cry,fear,anger,anger,anger
like bridge the divide between Right and Left Twitter and say that the new Tweet truncate thing fuck awful,fear,fear,sadness,fear
aspect human evolution the evolution consciousness attachments desire apathy sentimentality tear,anger,fear,fear,anger
you You not worthy enough know what serious,sadness,sadness,sadness,sadness
have problem Yes Can you something about Than why worry,fear,fear,sadness,fear
Nothing lovelier than your great mate send the most joyful and sweet pic Thankyou amy,joy,joy,sadness,joy
tend them get infections nHe frown and look down this nIt must hurt damn,sadness,sadness,sadness,sadness
nephews cousins nowhere near bad guy but they could kill any moment cop that think they their color,fear,fear,fear,sadness
Watch this amaze live broadcast musically,joy,joy,joy,joy
cheerful sloth annotate old book about very good man then the gods end evil,joy,joy,fear,joy
musician can tell you that more people get discourage when learn because shitty instrument than anything else,sadness,sadness,sadness,fear
content Life too short smile,joy,joy,joy,joy
dude same fukc lose spectacles this morning,joy,sadness,sadness,sadness
love that Jordy revenge âš½ï,anger,anger,anger,anger
didn say anything bad about the situation great mate can believe some Makes despair humanity,sadness,sadness,sadness,fear
joyous Worried would disappoint Most definitely not chickflick giggle comethefuckonbridget,joy,joy,joy,joy
just add little levity,joy,joy,joy,joy
DOJ have destroy USA These CharlotteProtest act terrorism date back Ferguson Terrorism how should treat,fear,fear,fear,fear
have all brace and can stop smile ŠðŸ ŠðŸ ŠðŸ ŠðŸ,joy,joy,fear,joy
block bless faith unlock them ManUp faith,fear,fear,fear,fear
great mind think alike,joy,fear,fear,joy
quick listen slow speak and slow anger,sadness,anger,fear,anger
envy the relentless your cheerful smile aim the pour rain your positive attitude art you have continually master,joy,joy,anger,joy
5679787 Can not you don follow each other Not such delight party fail letdown,joy,joy,joy,joy
what seem more fun for photo booth able instantly post Twitter have wait till sober see the hot mess,sadness,sadness,sadness,sadness
girls earn the Stonington today Goals Waite and Winakor DeluciaAlexis assist relentless,anger,anger,anger,anger
hotelplanner stay hotel who pack picnic lunch take the road BetterTogether Redlizzy1 NewfieChic,sadness,sadness,fear,sadness
Yes but you specifically fume about him not sign enough people,anger,anger,anger,anger
break heart see people down upset will try best make them smile cheer them,joy,joy,fear,joy
future must bright,joy,joy,joy,joy
JlKelly1 get teampaella present their way for you and but don think they arrive Saturday sadly,sadness,sadness,sadness,sadness
sadness This too shall pass lose lonley startingover,sadness,sadness,sadness,sadness
second artist announcement look good bluesfest2017 blue Music byronbay,sadness,sadness,sadness,sadness
have only just start watch glee this week now addict glee GLEEK,joy,joy,joy,joy
sulk too much for own good,sadness,sadness,fear,sadness
Your ass look horrible that your face,fear,fear,fear,fear
BaileyDemented ill kill bully her,fear,fear,fear,fear
LmRyle tomcolicchio realDonaldTrump HillaryClinton understand your concern but look her foundation contributions worry,fear,fear,fear,fear
teach the blue keyboard fundamentals and all these classical major like WTF,sadness,sadness,anger,sadness
start good day without cup tea tea start day goodday,joy,fear,joy,fear
for sweet princess arrive weeks this Saturday excite nervous,fear,fear,fear,fear
They ain away and don want see them hurt change hearts mind really our only option,sadness,sadness,fear,joy
could such crook stick delusional dim amp dark hearted dud surprise lose amp prob also ppl win let their crimes drop nwo imo,sadness,sadness,sadness,sadness
breakaway Lundqvist with tremendous save,fear,fear,fear,fear
you wrong will not hesitate block you and cut you out life completely one greatest talents,fear,fear,anger,fear
Literally die amp live the same time catch twitter you aren follow him your life BASIC,joy,fear,fear,joy
Update have yet hang out with but still hopeful optimism,joy,joy,fear,joy
third year college student and and English major Today the first time ever write essay without have panic attack,fear,fear,fear,fear
you get when you cross apple tree and pine tree ŽðŸŒ² nNothing You can cross pollinate deciduous and coniferous tree,sadness,sadness,fear,sadness
HillaryClinton Hypocritical consider the MiLLiONS dollars you and take from horrible people and spend yourselves,fear,fear,fear,fear
now feel the worry,fear,fear,fear,fear
say Teufel reassign within the organization before next year but wish sooner Mets thirdbasecoach terrible lgm,fear,fear,fear,fear
love parody account Well Vote for Trump lol,joy,fear,fear,joy
keep grind boy your life can change one year and even when dark out the sun shin somewhere,sadness,sadness,joy,sadness
the surfer girl and don speak the same language anymore justsaying sadness,sadness,sadness,sadness,sadness
rag storm bring own emotions sorry everyone enjoy the thunder,joy,anger,anger,anger
anybody need drown blue sea whiskey,sadness,sadness,sadness,sadness
weak amp despair our Mighty God near will give strength amp joy amp hope amp calm our inner fear just have faith amp trust,fear,fear,sadness,sadness
Anyone else find anniversary windows update 1607 Complete,fear,fear,fear,fear
win you let threaten all your plan insignificant,fear,fear,fear,fear
think the swallow and swifts have Photo nights ago not see since sad Autumn,sadness,sadness,sadness,sadness
million box office doesnt this movie justice Political not SnowdenMovie terrific thriller and love story,fear,fear,sadness,fear
step into the shower and spidey sense tangle immediately look and saw spider directly above head terror,fear,fear,fear,fear
overthinking like jus wan happy pls,joy,joy,sadness,joy
night thoughts Feeling restless,fear,fear,fear,fear
That what strive for Jamie Please don hesitate reach out you have any question along the way,fear,joy,fear,fear
HillaryClinton evidently feel above norms SHOW the tax return you have nothing,fear,fear,fear,fear
during the past mistake similar terror pretty remarkable,fear,fear,fear,fear
Woke nightmare 3AM couldn sleep any more take UseAllTheHotWaterShower Now have time read,fear,fear,fear,fear
samsteinhp stop the press say propose something racist shock,fear,fear,anger,fear
waitress recognise from last time there mop after interview haha,fear,fear,fear,sadness
all the United managers Twitter who form our fanbase Honestly despair time Just back the fuck team MUFC,fear,fear,fear,sadness
factor respect provocation bulb worm BnQo,fear,fear,fear,anger
grim night GetTheFireLit,sadness,sadness,sadness,sadness
thin lipped smile grace gloss lips she let blue peer over the woman constant delight always,joy,joy,joy,joy
weather change from sunny and bright gloomy just time match afternoon mood,sadness,joy,sadness,sadness
today arm silence lungs rejoice freedom insides have color too woman count jawbone become razor For free,joy,joy,joy,joy
different grocery store and they have have buy Helmann nLiterally shake right now,fear,fear,fear,fear
really want for fright night but really don,fear,fear,fear,fear
luck all Fury Haney players play this weekend the Future Stars showcase Frisco KGB town fury,anger,anger,anger,anger
would great but what the card crash happen twice nightmare,fear,fear,fear,fear
mourinho worry bring Ibra and Rushford panic,fear,fear,fear,fear
BurmanAJ rather see KYLE from bbcan play again and THAT say something,fear,fear,fear,fear
Michelle cry again shock bitter just not that into you TeamNicole,fear,anger,fear,anger
get mad over something minuscule try ruin somebodies life not like lose your job like get you into federal prison,anger,anger,anger,anger
ryleycathryn you discover the alarm rate which die and how important they our way life,fear,fear,fear,fear
the twinkie scare tbt,fear,fear,fear,fear
about our Problems our greatest Addiction Break the habit nTalk about Joys quote optimism problemsolving behappy,joy,joy,joy,joy
hell even see your face make fume,anger,anger,fear,anger
little things like that make angry,joy,anger,anger,anger
Every time hear jtkantor organ kick the new break into the goofiest smile,joy,joy,fear,joy
least Blake lively and Ryan Reynolds still together God bless what beaut couple,joy,joy,fear,joy
depress watch news today out 100 bullet news rape What wrong with people india shameless depress,fear,sadness,sadness,sadness
can not depict what feel right now feel jubilant yet anxious dunno seem like now have something worth wait everyday,fear,fear,sadness,joy
seamlessly set alarm use okgoogle Nougat Just tell Okgoogle what and she PersonalAssistant,fear,fear,fear,fear
not worry about anything but pray about everything,fear,fear,fear,fear
multiple comb simultaneously what like call impressive work snap ohsnap daamn,anger,anger,joy,anger
Wagging his tail the praise pause tilt his head she take the frisbee from him let out playful,joy,joy,joy,joy
can not believe the generosity pour out for but give everything have for Nick healthy and happy lose,joy,joy,joy,sadness
have serious separation anxiety,sadness,sadness,sadness,fear
can have alcohol sadly but only flare under very specific circumstances just need more careful,sadness,sadness,sadness,sadness
dark side the moon fact all dark nGerry Driscoll the end The Dark side the Moon,fear,sadness,sadness,sadness
Love your new show hilarious,joy,joy,joy,joy
felt like couldn control and here she give much herself selflessly please him His groan,fear,joy,sadness,joy
paraplyene just read and fun lighthearted and cheerful right double cavity for,joy,joy,joy,joy
know she horrible shit but wouldn make anything better the end but your choice,fear,fear,fear,fear
try turn off alarm this morning and turn all alarm instead,fear,fear,fear,fear
phone the sink earlier sound but everythin else work Prepared myself for life without music until put earphones,sadness,sadness,sadness,sadness
fuck sad when the person you love doesn try fight for your happiness when you anything for them,sadness,sadness,fear,sadness
Flirt simper pout repeat Yuck,sadness,sadness,fear,anger
many gloomy days,sadness,sadness,sadness,sadness
People use this hashtag brag about themselves not interest please others but please God,joy,joy,joy,joy
Can believe put their price They already know struggle pay bill amp win change package,fear,fear,fear,anger
trade have fun conversation kik youraffair kik kikme messageme textme pics trade tradepics bore,anger,anger,anger,anger
boy our weekday schedule crazy But matter how tire whatever take keep the smile Kai face from frown,sadness,sadness,sadness,anger
just when think this disgust man couldn sink any lower like Hillary his depravity character have bottom,sadness,sadness,sadness,sadness
chiropractor make,fear,fear,joy,joy
room make few apprehend leave out charcoal ownership UnZU,fear,fear,fear,fear
don tweet shit like this come back and haunt you like your other ones,fear,fear,fear,fear
the grind have REAL Working job amp school ksudsm ksu recruiter instructor tumble gradschool,joy,joy,fear,joy
much want normal little life wouldn suit get restless need just what want all time happy,sadness,joy,fear,fear
app just randomly log out write the last part college essay and lose all,sadness,sadness,sadness,sadness
all finish you will discover that never random thoughts restless CrossoverLife,fear,fear,fear,fear
Okay deepbreathes can this ªðŸ âšªï cheer cheer amp see you the other side peep AFLCatsSwans ProudlySydney,joy,joy,joy,joy
data steal 2014 and only now you tell,fear,fear,fear,fear
okay not dead but come back lovingly haunt your sweet asses,fear,fear,fear,fear
The secret all every industry just start somehow people forget that they never give you permission,fear,fear,fear,fear
biggest fear incurable STD and pregnancy mean they basically the same thing anyway forlife annoy weirdsmells,anger,fear,sadness,anger
you insult What you think just because look like this psycho more sane than most Gotham freak,fear,anger,anger,anger
ashleighjessica give that pout the firm,fear,sadness,fear,sadness
not sure what worse that the use Comic Sans website anywhere else comicsans,fear,fear,fear,fear
OMG CRYING HAHAHAHA ikaw talaga tagagising HAHA shet set alarm BUT FORGOT TURN but awake now,fear,fear,fear,fear
today just felt like maybe track isn for,sadness,sadness,sadness,sadness
don know how people can binge watch horror film ALONE,fear,fear,fear,fear
life downhill alarm rate,fear,fear,fear,fear
crush fictional and animate character instead real people,joy,joy,joy,joy
George Establishment unhappy Trump campaign brand his son low energy but could not have beat the others either,sadness,sadness,sadness,sadness
who have brave the storm brew,joy,joy,fear,joy
realisation that the last time watch swim lesson cos back work next week lead joyous bedtime worstoneyet,joy,joy,fear,joy
hangover all day Stood dish and now exhaust again GAD depression amp chronic pain anxiety pain,fear,fear,fear,sadness
rather dump gasoline all over myself and run into burn build than use Excel,fear,anger,fear,anger
Luckii change many ways Him scary but joyful feel make strong,joy,joy,fear,joy
night where depression win depression fml help,sadness,sadness,sadness,sadness
Your boy have nightmare,fear,fear,fear,fear
OKAY That jump scar the Poop out right there Bad dog BAD Total code brown favorite pant Damnit horror,fear,fear,fear,fear
difference between someone selfies when they happy unhappy absolutely amaze,sadness,sadness,sadness,sadness
Shame you show elephant hunt and kill,joy,joy,fear,fear
The worst customer service and lack professionalism from this service provider phoneprovider badbusiness terrible,fear,fear,fear,fear
Fibromyalgia have really bad lately which not good for mental state feel very overwhelm anxiety bipolar depression,fear,sadness,sadness,sadness
good vibes for doctor appointment tomorrow,fear,fear,fear,fear
the challenge that you may feel the exhilaration victory nTOMIHO IpaglabanMo TapingDay2,joy,joy,joy,joy
can believe HoustonTexans can put even point hugeletdown,fear,fear,fear,fear
afraid she the goat you libel people afraid goat libel,fear,fear,fear,fear
nMy goal would for all miserable yet jovial the others know civil but with realization self,joy,joy,sadness,joy
Police manufacture murder Wonder why carry burners MaxLevelz shake,fear,fear,fear,fear
dish_answers contact dish service whathappenedtocustomerservice,fear,fear,fear,fear
Geminiak you welcome wordgeek nAlso good put face the twitter fee even only cheery hello,joy,joy,fear,joy
wouldn cross the street piss its server dire,fear,fear,fear,fear
know when you just slightly high the state between sober and high That beautiful wish could feel like that,sadness,sadness,sadness,sadness
still terribledebatequestions,fear,fear,joy,joy
Doesn matter whn you start something long you start today Age only exist the mind You Timeless,fear,fear,fear,fear
furious,fear,anger,anger,anger
2008 crisis just the tremor advance the earthquake,fear,fear,fear,fear
this hilarious,joy,joy,joy,joy
Seriously sick and grumpy and the only thing that gon cheer order xmas food when,joy,joy,joy,joy
cant stop finish deject luckily one the bathroom stall and wait until pant dry,fear,sadness,sadness,sadness
have try cheerful upbeat piece Walking through History usually arty docu type Can not find trace,fear,joy,fear,joy
even when fight laugh probably have serious ingrain issuesðŸ,sadness,sadness,sadness,sadness
hour rid make angry sorry,anger,anger,anger,anger
end how meet your mother dreadful,fear,fear,fear,sadness
little frustrate much misplace something Been look for key for hours now,anger,anger,anger,anger
That why compatibility key lower hedonic volatility,fear,fear,fear,joy
soywax limit edition horror candle Follow for all the latest news,fear,fear,fear,fear
thank gen Love you miss you happy birthday natong duha,joy,joy,joy,joy
just find out Candice and not Candace She can pout all she like for,sadness,sadness,sadness,sadness
boys dint know the game the game life after death better choose and know who side you before wrath come upon usðŸ,joy,joy,anger,anger
much sadness and heartbreak,sadness,sadness,sadness,sadness
hollywooddivas Idiots like Larry Sanders scare All How can Morons these days Rush Judge Police all facts yet thugs,fear,fear,sadness,fear
feel this precious pleasure Harder whisper almost breathless and his index finger stroke along his waistband,joy,joy,fear,fear
don get that parent literally don see how unhappy lately,sadness,sadness,sadness,sadness
WAN GET AND DANCE but everyone bed this suck Everyone wake hyper letsdance dirtydancinginthemoonlightðŸ,joy,joy,fear,joy
wouldn that basically sparkle water,joy,joy,joy,joy
home depress,sadness,sadness,sadness,sadness
can you least just walk past her and break out into laughter,joy,joy,fear,joy
Doesnt anyone else literally pull into the office cause someone complain spit the sink yesterday,sadness,sadness,sadness,sadness
You get tremendous range,fear,fear,fear,fear
OutlanderHome not film smile please,joy,joy,fear,joy
grim really,sadness,sadness,sadness,sadness
tmobile store original note7 customer and zero result What guy customerservice 2hour waittime,fear,fear,fear,fear
well ladies great award for amaze team delight present the award you,joy,joy,sadness,joy
why the ticket website never work Trying buy Palace ticket and impossible and say there error awful,fear,fear,fear,fear
outrage over Kessel tweet butthurt USA players hilarious,anger,anger,anger,anger
stay Dubai,sadness,sadness,sadness,sadness
nearly drop phone into the sink HAHAHAHA,fear,sadness,sadness,sadness
GunnySmith93 Stephen21Smith nDays like today happy alive bless,joy,joy,joy,joy
right reply UNGA Pakistan preach human right country which itself the global epicentre,fear,fear,fear,fear
Magrove86Mark jersey gloves dark,sadness,sadness,fear,sadness
guy now lessons via Skype Contact for more info skype lesson basslessons teacher free lesson music groove rock blue,sadness,sadness,sadness,sadness
Thank you much Just home stun but happy Don think have sink yet Wow,sadness,sadness,sadness,sadness
donlemon listen these politicians make angry fuck tire political speak career politicians,anger,anger,sadness,anger
immense importance football sometimes scary When you donâ win you responsible for many unhappy people Arsene Wenger,sadness,sadness,sadness,sadness
PixelMonsterYT TeamGE0 IZEDEPTIC ztumtum CrimtideTV LtGrandslam Bahahahaha Dean look hilarious and damn get fat,joy,joy,fear,joy
GenevievePere23 WOW you call bully correct typo harsh,fear,fear,fear,fear
Theresa_Talbot Haha sorry about the dreadful pun need get out more cooped lately,sadness,sadness,sadness,fear
don give who win out and pine just worry about get drink Saturday nightðŸ,sadness,sadness,fear,sadness
true there impulsive thin skin bully who like silence critics amp opponents president voxconversations,fear,fear,fear,fear
mhchat Childhood experience inform adult relationships have associative memories Not question ability process,sadness,fear,sadness,sadness
resentment and hatred the destroyer your fortune today,anger,anger,anger,anger
Michelle cry again shock bitter just not that into you TeamNicole,fear,anger,fear,fear
name anxiety and have shaun,fear,fear,fear,fear
can believe make this far 169 days throw out demons get sober clean start recovery Sobriety,sadness,sadness,sadness,sadness
trade have fun conversation kik youraffair kik kikme messageme textme pics trade tradepics snap bore,anger,anger,anger,anger
SteveStratford9 PaulTowheyJr ClassicDrWho BBC all those will get animate IMO Companion change Monsters Classics,joy,joy,joy,joy
skydrive cokie hearty exactment blame online HEpHXhO,joy,joy,fear,joy
Are you worry worry n1Peter nThrow all your worry him because care for you faith leadership mindfuâ,fear,fear,fear,fear
past midnight loud bang our front door tell about new rape case Edinburgh today nosleep,joy,joy,fear,joy
yards off the pace League Cup game against Northampton Town Let that sink for moment MUFC,sadness,sadness,sadness,sadness
Working you feel your life The Edge_Could either way lose all reason for Living JesusChristHealsSavesASK fatloss,sadness,sadness,sadness,sadness
want watch some netflix but stick here class depress,sadness,sadness,sadness,sadness
the juniors now wear purple ollafest while here fight with alarm about when need wake for German sadness,sadness,sadness,fear,sadness
You welcome and thank you likewise What you hop learn like your concern,fear,fear,fear,fear
LordDerply for like yugioh for animate show,joy,joy,joy,joy
kinda girl please the dick rightðŸ,joy,joy,sadness,joy
you right choice have slam him one ignorant man and really resent that statement Don King embarrassment,anger,anger,fear,anger
panic sweat sneeze hiccup snot tear cry Clearly body have issue with chilli,fear,fear,anger,fear
want peace from WorldPeaceDay internationaldayofpeace,fear,fear,fear,fear
Sorry wow_air definitely with Icelandair next time this beyond unreasonable yourappologiesmeannothing,fear,fear,fear,fear
try not let anger seep into review but resent have time waste book like that Time precious,anger,anger,anger,anger
DISTRACTION what really selection election Syria race riot GasCrisis2016 NoDAPL rape,fear,fear,fear,fear
The Worst Place You Can Your Own Head quote worstenemy depression thinktoomuch,sadness,sadness,sadness,sadness
stop watch gotham cause they drop off tabitha and barb relationship and make her pine after the main,sadness,sadness,sadness,sadness
jwonder81 well course Progress for the sake progress must discourage The problem the substance the rhetoric,sadness,sadness,anger,sadness
need serious nap,sadness,sadness,sadness,sadness
sorry discourage you,fear,sadness,anger,sadness
the only one with park sensors who still manage reverse into things nightmare,fear,fear,fear,fear
RealKyper watch the jubilant scrum the end the day and remember they all still kid priceless,joy,joy,fear,joy
Chris Williams yards shy join yard club Bowman 279 Walker 168 amp Roosevelt 095 already there CFL,fear,fear,fear,fear
more entertain and frighten than bitter alcoholic try desperately get your attention,anger,anger,anger,anger
sure you have heyday they,joy,joy,joy,joy
only talk ask how things just get say something want 4give not elate start conversation with,fear,fear,fear,joy
better really stupid don worry,fear,fear,fear,fear
not very young man compile info smile baby then mattress create new evil,joy,joy,anger,joy
this the internet age get mad out any and all proportion and assume the terrible worst with little facts knowledge,fear,fear,fear,fear
Day harvest16 listen the sound the chopper work way closer home make happy farm365,joy,joy,fear,joy
just begin ladies and gents The war racism have begin sadness Segregation continue smh,sadness,sadness,fear,sadness
Utd shamble that horrific,fear,fear,fear,fear
wan kill you and destroy you want you die and want Flint back emo scene anger fuck die hatered,anger,anger,anger,anger
get cheat when mistake the sparkle ribena the normal ribena,sadness,joy,fear,joy
insult compliment tell look like really happy duck,joy,anger,anger,anger
ThomasHCrown historic evangelical wonder the Donatists have point What dreadful clergy fmr circle,fear,fear,sadness,sadness
