Content,Emotion_predicted,Emotion_actual
spend over 2 fuck hours and still can t get that dam SIVA fragment on Fellwinters peak mountain,sadness,anger
the joyous occasion of laugh at the ostentatious display of disrespect Bruce just scoff at the entire scene This wasn t Batmanâ s,joy,joy
the last 2 years the U S have be average about 4 terrorist attack a month Good debate topic Trump Hillary,fear,fear
MisterSalesman smile doesnt necessary mean your happy sometimes it just mean you re strong,joy,joy
hey y all announce it like immediately after I ask Nice Thanks y all,fear,fear
Bluebelle89 like the optimism,joy,joy
my dear friends I will be back online this Friday night I miss you sober sobriety recovery,sadness,sadness
uber driver TRIED it with me amp he ll feel my wrath,anger,anger
fume fuck sake,anger,anger
ðŸ ƒWhen life show you have a hundred reason to cry show it that you have a hundred and one reason to smile ðŸ ƒ quote,joy,joy
man with huge heart be mess with my brain and heart lose confuse,sadness,sadness
a very depress and suicidal person see someone sing about their own depress life yet have fun be very relatable and encourage,sadness,sadness
90 of the sausage in this pasta I make sink to the bottom so I m eat sausage with a tiny bite of leftover pasta,sadness,sadness
miss my gran sing Rawhide in her deep baritone growl,anger,anger
a Kali s kitten She ask a frown curl on her fair skin forehead as he show her the scar A cat do ScarredTiger,sadness,sadness
Lil reminder that my private account be a delight of shittalking and occasionally NSFW stuff,joy,joy
srsly somebody help me deal with this social anxiety,fear,fear
to say that third City kit be fuck awful Someone at Nike want shoot,fear,fear
know I have to get up at half 5 for gym in the morning it s so depress,sadness,sadness
this be why I think his pre prepped debate answer have the potential for hilarity,joy,joy
I do my homework now I can watch revenge and possibly go out tonight n play on phone for 2 hours to avoid do homework,anger,anger
I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison,anger,anger
not fret if you be not cool Humans who follow me become instantly cool â Bot,sadness,sadness
CharlotteProtest do u wait 4 the facts video or do u hate now ask question later sad protest PoliceShootings suggestions,sadness,sadness
float like butterfly Now you sting like be,anger,anger
Do not grow weary of do good a last legacy billclinton ClintonGlobal CGI2016 thankfulmoment,sadness,sadness
optimism be he ll lose that s actually a compromise P,joy,joy
How why Really n funny picoftheday lol random laugh chair of funnypics virgin cafe i,fear,fear
inter group relationships anger make people think in more negative and prejudice term about outsiders,anger,anger
SXMUrbanView karenhunter you be so wrong for this need levity after that record,joy,joy
want to pour all my tear on someone right now So tire of this upset sad,sadness,sadness
upload the file I need to the university server s drop box It take like half an hour and a lot of curse and anger on my part,anger,anger
just watch you on the great wall hilarious ðŸ,joy,joy
not pump for this interview nervous,fear,fear
to trade have fun or a conversation kik youraffair kik kikme messageme textme pics trade tradepics dm snap bore,anger,anger
wrinkle up Well now look here like your name start with the letter G eh The man smile up and give a hearty,joy,joy
He just have that way of think he want absolute hope bear from absolute despair,sadness,sadness
â s â Make America Great Againâ plan be exactly like the first 15 minutes of the movie ChildrenOfMen n n cage terrorism refugees,fear,fear
Karev better not be out Or I be seriously do DONE with angry unfair ugh,anger,anger
we regret the inconvenience cause We have note your concern We will get in touch with you soon to discuss Rgds Abhijit,fear,fear
loss to city in the cup next ðŸ ˆ ðŸ ðŸ cmon unite,sadness,anger
lee_family5 USAneedsTRUMP HillaryClinton You can t be serious This man practice no religion Only in church campaignin,sadness,sadness
On my way rejoice to the pulpit Park City Baptist Church Surrey BC for Midweek Service,joy,joy
i pout i just want Adrian to appear and tell me to stop pout or else,sadness,sadness
I can fear that someone be always follow me everywhere I go Does that make it true,fear,fear
This be a joke,fear,anger
Brown s Law Never offend people with style when you can fake that you have to break us in this Island,anger,anger
envy the relentless your cheerful smile aim at the pour rain your positive attitude be an art you have continually master,joy,joy
have determine 70 of laughter be actually anxiety,fear,joy
to Nicole bb18 Fix that nose now ðŸ ðŸ ðŸ petty,joy,anger
szn 3 gt gt gt szn 1 gt gt gt szn 2 Just to warn you Don t let szn 2 discourage you,fear,sadness
be the first time I ve write anything on this series in over two years so I m check back in for one last nightmare,fear,fear
Are you worry worry n1Peter 5 7 nThrow all your worry on him because he care for you faith leadership mindfuâ,fear,fear
to forest drama nfrom my Forest music series 2016 n nature dark art photography Finland,sadness,sadness
heyday Race war 2016,joy,joy
oldest cat piss me off She s always be weary of Kennen senile kinda but recently shes be sweet Until she attack and bite him,sadness,sadness
wan na go to work but I want the money,fear,sadness
Childood experience can leave you with permanent deep sadness as adult it can underlie everything MHChat,sadness,sadness
What happen now when you tell him you re pregnant via home test amp nurse later tell you it s a false alarm amp BaE be too excitedðŸ Š,fear,fear
Wow do you get a really good buy on a bunch of 70 s movies There be bad then and be worse now awful,fear,fear
be history tomorrow be amystery and today be a gift that s why they call it the present livelife humbleness smile live,joy,joy
DOJ have destroy USA These CharlotteProtest be act of terrorism date back to Ferguson Terrorism be how it should be treat,fear,fear
do Alex just growl at me ðŸ ðŸ ðŸ,anger,anger
nightmare before Christmas,fear,fear
to see y all frown but I d rather see him smile ðŸ âœ,sadness,sadness
BouchetPetersen libe dom_albertini Imposuture intellectuelle prÃ jugÃ s intolÃ rance personnalitÃ Autoritaire,fear,fear
refuse to be a chirp chirp girl,joy,joy
I have Golden Ocean the other day it be lush then I gag and be sick What a waste of Â 20 I be fume I miss you,anger,anger
It Follows This be a super freaky movie scary,fear,fear
i can t bully you and niall impossibleðŸ,fear,fear
Why pine green forget me nots be mediumpurple pickering be not light and so on,sadness,sadness
my name anxiety and i have shaun,fear,fear
stock finish amp list live room move around new edit do amp fit in a visit to the in laws productivityatitsfinest happy,joy,joy
wan na go to fright fest with squad,fear,fear
why but this Time around its so hard that it hurt I already miss them all so much silly family friends,fear,fear
a cop be go to pull a gun on you for no reason at all and threaten you you should be able to merk his ass and walk away,fear,fear
Could you ask your Chafford Hundred store to turn on their car park light A bite scary these dark nights Thanks,sadness,sadness
there be a US diver name steele johnson i d like him bar from the olympics,fear,anger
She be win this war that have be rag on inside of his mind The desire and love all roll into something he,anger,anger
be afraid to give up the good to go for the great John D Rockefeller quote inspiration great motivation,fear,fear
ArchangelSummit Anyone can be brave but you just have to last 5 mins longer than everyone else leadership fear,fear,fear
just begin ladies and gents The war on racism have begin sadness Segregation continue smh ðŸ,sadness,sadness
EA sport technical support team really suprised me ðŸ Š SUPRISED ME AT HOW SHIT THEY WERE awful,fear,fear
Needed levity Hubs I talk of weareTYPHOON Kyle s new solo album my 7 yo say KyleClark She love ur news show 9News LOLZ,joy,joy
Trump wasn t laugh anyway his expression never change he be smile because it be a moment of levity nothing racist,joy,joy
Elizabeth Smith She say with a cheery smile Pleasure to meet you sir Where have you travel from,joy,joy
just have to eat my way to sobriety This ll be a hell of a journey back to sober,sadness,sadness
Watch this amaze live ly broadcast by musically,joy,joy
Are you always so relentlessly positive Your constantly cheerful optimistic disposition start to grate after a while,fear,joy
jeezus God dark,sadness,sadness
hate not have the answer I need tomourssuck prayinsnotcancer,fear,anger
Loving Pitch so far ðŸ ðŸ ðŸ PITCHonFOX chill,fear,joy
advice on how to get out of this rut depress needmotivation,sadness,sadness
lhbrown1990 I m afraid to look,fear,fear
the animate series be a gift from the 90s animation gods,joy,joy
When you re prof suggest and William James may be unlikely dialogue partner and then play the happy video WeAreCST,joy,joy
whip boy mufc,fear,sadness
why OH why cant my Visa electron be accept on line I be 55 NOT 15,fear,fear
ï cailamarsai you ve have me ï ï the whole time watch black_ishABC after you ve lose your glass It be hilarious,sadness,joy
from the sporadic wifi on the tube perilous,fear,fear
Troyler will die I m gon na die with them n troyler sadness fuckin lifeisnotafairytale,sadness,sadness
Ended up pay 75p for half a tube of smarties Don t even get the pleasure of pop the plastic lid off either,fear,anger
Go follow juspopmolly on snapchat that hoe sit on the sink right now,sadness,sadness
davidplotz She write with sort of the same playful cynicism that you do,joy,joy
nOh I m sorry about it do not be sad yourself there be nothing important in the world to grieve about it,sadness,sadness
boys rejoice as badger corner have be reclaim for our first social of the year cluboftheyear,joy,joy
little sniffle at the end of the song get me every time rejoice,joy,joy
hear Movie Bob be furious about the Skittles analogy He be upset that there wasn t actually any Skittles,fear,anger
jeremycorbyn magstogether my god be a full shill Seriously you need a major rethink or no lab gove in your lifetime sad,sadness,sadness
You make the world a more joyful place TheNiceBot,joy,joy
many great pics from the show in TokyoðŸ I like all his outfit now except the lace one w those horrible pant ðŸ,fear,fear
be on Pak to act against terror group which find safe havens and all type of support for cross border terror MEA,fear,fear
Yep peep on here always out to cheer others up I m fine drool at GBBO x,joy,joy
it wasn t a joke,fear,fear
my service be down in Cleveland OH What s go on unhappy,sadness,sadness
TheBarmyArmy look forward to div 2 next year leictershireaway therey,fear,anger
Suffered a bite at time of stress Always a bite shy About 8 years ago age 30 I be make redundant That s when it start,fear,fear
wait you mean he wasn t arm with a book shock,fear,fear
stay up all night long nMade our drink too strong nFeeling ten feet tall nRopes swing into the water nIn the middle of the night,joy,sadness
interview go well today I can t wait to find out what happen excite interview jobinterview,fear,fear
today I un arm my silence My lungs rejoice in freedom My insides have color too A woman count My jawbone become a razor For free,fear,joy
every fear,fear,fear
true sonicsatam be serious and a bite dark Aosth be like super goofy and Looney toonie to a degree,sadness,sadness
me in the fossil type of way,fear,fear
yapyap once upon a time I be an avid fanfiction patron during my K Pop heyday,joy,joy
ddcl2519 not nice Wishing harm on another human be be deplorable Your comment show how human and humane you be bully,fear,fear
i dont understand why u do videos every week spend time with your family instead of work on horror takeabreak,fear,fear
level 100,fear,fear
fear the want of business A man who qualify himself well for his call never fail of employment,fear,fear
From what I know of the man I have to assume that have have a heat argument with his own penis,fear,sadness
fun fact i be afraid,fear,fear
be itch for a fight itch for the exhilaration of battle of almost get defeat the adrenaline pumpingâ n RojinHitto,joy,joy
I could of tell you that one lmfao ðŸ Then old niggas get waste and start fuck around,fear,fear
hell Rush for the damn train also no use Fucking 4min wait Still sweat smrtruinslives,fear,anger
She chuckle shake her head No I just have a really vivid imagination I guess It happen when you meet someone gt,fear,fear
can never find the exact emoji that I m after at the exact moment that I need it panic,fear,fear
Fear be best beast product of God s aTheism theism biBle christianity hell heaven purgatory psychology jesus,fear,fear
be you guy still down When can we go up panic,fear,fear
What Hillary have 27 different controversies and she get ask NOTHING about any of them Truth be she s a horrible candidate,fear,fear
smell of freshly cut grass didn t even cheer me up boy oh boy,joy,joy
all you white people out there be you offend when people refer to you as a Cock Asian NoSeriously,anger,anger
LeePorter94 hi Dom I saw u at Notts county away look for 1 mufc away ticket will pay,fear,sadness
sting decent new song,anger,anger
He grumble as he sit atop the sushi bar stool cross his arm defiantly in a playful gesture though he give anyone who gt,joy,joy
really hate Mel and Sue They think they re hilarious and they re just awful,fear,joy
have be a better second half team this season So there s that optimism,joy,joy
meth documentary be exhilarate,joy,joy
players always haunt Man U,fear,fear
Jesus weep Another RNS from rusty quote Price sensitive news Price Sensitive news etc etc The Ramping here be shock,fear,fear
Haters You be low in self worth Self righteous in your delusions You cower at the think of change Change be inevitable,fear,fear
advice on how to get out of this rut needmotivation,fear,sadness
feel really nervous or anxious Idk My leg keep shake Hmm,fear,fear
dilancliff jackcourtney95 Connor say he s worry that Jack will steal his girls on a night out,fear,fear
hasn t sink in that I m meet the twin,sadness,sadness
saw those dream dash amp amp divide like a million star in the night sky that I wish on over amp amp over again sparkle amp amp break,joy,sadness
_Mrs_Peel lp_lisa PaulRGoulden Might be the pout of a star baker tho,sadness,sadness
you know that the sparkle letter in Super Mario Galaxy spell out U R MR GAY,joy,joy
realDonaldTrump New campaign slogan idea I know you be but what be I Trump2016 yourefired deflect,fear,fear
douglas_nat I need it today Do u know how many fuckin French plait I have to do this morn with a stroppy 9 yr old,fear,anger
kitchen sink,sadness,sadness
Maybe if it be transgender the media would cover it outrage,anger,anger
have no alarm preset life will wakemeup,fear,fear
SurfaceSupport A profoundly disappoint experience I have 2 pay almost 500 2 remedy a defect n the product sell me,fear,fear
Oh daamn getitgirl girlpower anger rawr ChicagoPD,anger,anger
there a perfume that smell like the smell of smokey incense because i would be all about that,fear,anger
I have a job interview with in Loughborough next month nervous,fear,fear
really hit all flavor of my sparkle water rap But you know what s trip me out These half French and Spanish flavor,joy,joy
don t need to wear black to mourn tho They can just walk naked dodge stone Na joke naâ ¹,sadness,sadness
Just get back from see in Burslem AMAZING Face still hurt from laugh so much,fear,joy
my room 101 would go Russell Howard Tom Odell Michael Buble pant nogood,fear,fear
Happy Birthday to my favorite author writer author,fear,fear
love new movie n BlairWitch blairwitchproject horror HorrorMovies,fear,fear
Watch this amaze live ly broadcast by musically,joy,joy
JaySekulow what can we do 2 get 2 reveal his tax That be the immediate danger But u will not answer me afraid,fear,fear
well do she make you laugh with her panic mania or not Â,fear,fear
an egg be grim you be eat the material embodiment of a fart and an unborn chick,sadness,sadness
to Nicole bb18 Fix that nose now ðŸ ðŸ ðŸ bitter petty,anger,anger
your smile to change the world Don t let the world change your smile quote actorslife love hardworkpaysoff fun,joy,joy
that anthony weiner have be catch chase a busty milkmaid across a park at double speed while jaunty music play,fear,joy
Optimism lead to success Bill Kerr success goals,joy,joy
substitute the hood for a badge and gun Public opinion be indictment of Charlotte police dark sadtimes america race,sadness,sadness
just wait till they hit you with the 5am fire alarm in the middle of winter Those be sweet,fear,fear
always unhappy and easily offend,anger,sadness
felt deject He have a deject aunt,sadness,sadness
I m try to imagine the first response of a President Trump to an act of terror The think itself terrorize me,fear,fear
MrsCassonC WAS THERE A CLOWN IN YOUR NEIGHBORHOOD nightmare creepy EnoughIsEnough,fear,fear
dumb ass hell lolol hilarious LethalWeapon,joy,joy
Now what to do for the next hour while wait for OurGirl to start,fear,fear
Hey There Phil Glutting thank you for follow us it s appreciate smile,joy,joy
that yearly transition from excite and hopeful college returner to sick and exhaust pessimist college,sadness,sadness
vestiges of my 90 s childhood be just dash on the shoal of hear a house cover of Tracy Chapman s fast car at the dayjob,fear,sadness
which one the one where u threaten violence Or the phedophiliac u support Or the constitution violations he propose,fear,fear
pat 2 5 10 11 just before please,joy,joy
CharlotteProtest do u wait 4 the facts video or do u hate now ask question later protest PoliceShootings suggestions,fear,sadness
He look down at his brother a smile form on his face What People fear me,fear,fear
tire amp an alarm system on my car fwm now,fear,fear
I don t know whether to despair or agitate for a cull,sadness,sadness
with all pre industrial revolution esque footwear You guy tryin out for grapes of wrath today,anger,anger
watch Django Unchained Other people may frown but I titter in delight 2 5,anger,sadness
be something v satisfy about open an old to do doc file and be able to check off all the things you have do,fear,joy
Your foot be frown,sadness,sadness
have be terrible but tonight will end better because I get to see Malik â ï,fear,fear
vile piece of scum rejoice in the fact that you have dead children be inhuman and to say it to me be worse still I hope karma knock,joy,joy
I hashtag things and the kid always tell me to stop ðŸ ðŸ ðŸ ðŸ ðŸ sadness,sadness,sadness
cook me dinner again spag blow it be not to sure if she need my help ðŸ ðŸ girlfriends,fear,joy
still not sink in that im see joe next month im so grateful and excite shit,sadness,sadness
of the casuals tweet that Vic have faved be make me gag,fear,anger
be your toddler cop with the new arrival Has he try kill her yet they cheerfully ask,joy,joy
be United do shock defend,fear,fear
intimidate by my work ethic I think he know I want his spot ðŸ ðŸ ðŸ ðŸ,fear,fear
I win t even get start with Hillary and her fancy fundraisers depress,sadness,sadness
feel like I be drown depression anxiety falure worthless,sadness,fear
the challenge so that you can feel the exhilaration of victory George S Patton n quote motivation entrepreneur,joy,joy
you find me lose will you stay as a passerby or will you get lose with me muse melancholy,sadness,sadness
of my razor wit amp sparkle personality,joy,joy
gurls Dm for a tribute ðŸ œðŸ snapme dm nudes tribute cumtribute cock cum swallow,anger,anger
not a nervouswreck Im a nervous pileup GoingCrazy HelpMe Insane Antisocial,fear,fear
a team as big as Bayern and the they like to play football their pitch be fuck dreadful Certainly no Emirates pitch anyway,fear,fear
I the only one with park sensors who still manage to reverse into things,sadness,fear
i be a sensitive angry insecure baby today but UGH why do people at large either hate or ignore me bc it be literally the worst,anger,anger
fact sometimes i don t get furious at people who wrong me but i get furious at myself for be a fool,anger,anger
happy my next class be cancel bc im od tire ðŸ,fear,joy
cheerfulness or a good temper the more it be spend the more of it remain,joy,joy
NGilbert92 haha it s me shock I know ðŸ you ll hear me moan I m too cold in winter â ï,fear,fear
my kinda girl please the dick rightðŸ ðŸ,joy,joy
MarkTOByrne I offer WholeFoods amazon gold or silver but they say Nah bitcoin,fear,anger
The40Bar See you all October 8th be ready to tear it up keeptalkin wreckinso the40 brandonmanitoba country rock blue,sadness,sadness
the wheel as we grow older and become aware of ourselves as individuals with a dull responsibility in life,sadness,sadness
the pout tip me over the edge I be most definitely AGIN Who the feic bake with full make up and boot with heel,anger,sadness
my haters be like cricket they chirp all day but when I walk past them they shut the fuck up my idol,joy,joy
ew omg that be so grim,sadness,sadness
SimonSSJ123 EllieG10853 Onision he sure as hell help me with my depression and still do,sadness,sadness
quick to listen slow to speak and slow to anger,anger,anger
will win the game at the last minutes and Madridistas will say Cules stay this long watch RM win at the end Disgusting fanbase,sadness,sadness
u always get ta attitude tho ðŸ cheer up,joy,joy
say it should be bore by or bore with but not bore of a rule cheerfully ignore,fear,joy
mean be she suppose to seem joyous when she s talk Rodrigo Duterte ISIS the American economy etc Think about what you re say,joy,joy
always dread Wednesday s and the always end up make me the happiest,joy,fear
I m so starve for content I d take it but I d def pout about it ÕŸàº Í àª ÕŸàº Í,sadness,sadness
So safe blue be ok Are reds ok as well Obviously battleground state would not,sadness,sadness
and off to the hospital Elouise s water have go Labour LittleSister superexcited,joy,fear
be about a little over an hour away We will arrive soon do not fret,sadness,sadness
at least Blake lively and Ryan Reynolds be still together God bless what a beaut couple,joy,joy
depress see my whole fam pack to go on holiday tomorrow and I m just stay here ðŸ ƒ,sadness,sadness
one s gon na chill bc fake outrage be fun or w e but SPACE COLLEGE,anger,anger
y all can t mourn or celebrate shawty lo cause y all ain t play his music since 08,sadness,sadness
if I go I m go to blow some serious money idk if that s a sacrifice I m will with make,sadness,sadness
NHLstoreNYC cheer for TeamNA_WCH and,joy,joy
KimPiggie oh every people can make tipo It be terrible bully them about that It s trvial and very sad ðŸ,fear,fear
The time have now come that we have to combat this wave of terrorism with the right tool of the trade HH BanWahhabism,fear,fear
the first time in my madden career I just set up a farm account Should make MOTM much easier,anger,anger
add Paul Walker on Xbox but he just spend all of his time on the dashboard humor funny,sadness,sadness
it me or be Ding wear the look of a man who s just find his arch enemy in bed with his missus angryman scowl,anger,anger
reikimuse I be beyond the sadness point Have do it inside out I live with CPTSD and BPD I can t always do the pity party,sadness,sadness
much time should I give to my friend who lose his laptop to mourn before I can ask him to give me his laptop charger and extra battery,sadness,sadness
Abood Iraq immigrant who live in Mesquite Texas be sentence to 48 months in prison for lie to the Feds about,fear,fear
have be the most depress week full of rain ever lol,sadness,sadness
I m too cynical for my own good but I m afraid this be the only way to understand Nigeria,fear,fear
it up with a smile maybe it ll get better,joy,joy
get discourage because I try for 5 fuck years a contact with Lady Gaga but be thousands of tweet how she would see my tweet,sadness,fear
when guy cant control their anger ðŸ ƒðŸ ƒ,anger,anger
be on my dean really save a lot of ppl bc I don t snap nomore amp it take so much out of me,anger,anger
Ciara ask be it a sci fi movie Julie amp Jen just stare Claire on her phone Joey bolt when the cab honk LMAO,fear,joy
Lopez be definitely me ðŸ glee,joy,joy
_Briannax33 TheFunnyVine MarielaLynn_ get ta shake the booty instead though make sure it s all good ðŸ,fear,fear
that s not easy to blow up the LT on a run play He create the seam for Sua to burst through,fear,anger
at this massiah of youngleader n Pakistan massiah of terrorism,fear,fear
Watching drive by food and go to Devon Ave to eat nihari make me gleeful af,joy,joy
days off a month with two ex wive and no home could be worse I don t know how but it could oilandgas optimism,fear,joy
No By Y all I mean riot fire start business burn loot ASSHOLES That create BlackLivesmatter terrorism,fear,fear
seek shelter Letgo Old habit of chase desire resultin in anger fear worry Choose Satisfaction within Peace Relax,fear,fear
sissified page rule class separation in passage to dispirit attestative alphanumeric code WyrdljPyu,fear,sadness
be afraid to give up the good to go for the great John D Rockefeller quote inspiration afraid great motivation,fear,fear
throw myself straight into American Horror Story so I don t have time to grieve,sadness,sadness
bad at time management be finally start to come back to haunt me,fear,fear
a team as big as Bayern and the they like to play football their pitch be fuck dreadful Certainly no Emirates pitch anyway,fear,sadness
your a joke I pay for data when I m in Spain and you then text and say I ve use up all my data terrible service,fear,fear
love to laugh and share laughter as way to share joy,joy,joy
let jiho step on my throat but he d probs be afraid he d hurt me,fear,fear
force into a fake hug by someone who didnâ t flinch to get litigious with you in the past awful ðŸ ðŸ ºðŸ,fear,fear
kid at 8am in the morning nothanks rip the flower bed up by the root while their parent watch,fear,fear
irony in that last be that Republicans more likely to watch Fox News distrust the news media more Yet they can t see Fox s lie,fear,fear
peer down at you eye crinkle with mirth and affection I do love ye so my bonnie Belle,joy,joy
doesn t fix violence pain and anger be the same reaction in the brain Cure the pain and the anger will go away,anger,anger
OMG that s such a beautiful quote breathless amwriting,joy,fear
love have such a big family There s never a dull moment in my house ðŸ,sadness,sadness
C1TYofFL1NT This will haunt my dream,fear,fear
and these burn that I pick up off the pitch don t get on at all like ðŸ ðŸ sting,anger,anger
you need to band together not apart nevertrump he promote hatred and fuel,fear,fear
animals the animals nTrap trap trap till the cage be full nThe cage be full stay awake nIn the dark count mistake,sadness,sadness
this person must hate me so bad to talk shit behind an anonymous account awe,fear,fear
